wp_site_url,wp_tagline,wp_site_title,site_type,openshift_env,category,theme,theme_faculty,status,installs_locked,updates_automatic,langs,unit_name,unit_id,comment,ventilation,,,,,,,,,,
https://lsbi.epfl.ch,Laboratory for Soft Bioelectronic Interfaces,LSBI,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,LSBI,12393,Migrated from Jahia to WP 2018-06-13,,,,,,,,,,,
https://qed.epfl.ch,Association of PhD students in mathematics,QED,wordpress,subdomains,GeneralPublic,epfl-master,assoc,yes,yes,yes,en,CQFD,11334,Migrated from Jahia to WP 2018-06-13,,,,,,,,,,,
https://stat.epfl.ch,Chair of Statistics,stat,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,STAT,10124,Migrated from Jahia to WP 2018-06-13,,,,,,,,,,,
https://caa.epfl.ch,CHAIRE D'ANALYSE MATHÉMATIQUE ET APPLICATIONS,CAA,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,fr,CAA,10798,INC0233886,,,,,,,,,,,
https://lmc.epfl.ch,Laboratory of Construction Materials,LMC,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,LMC,10341,Migrated from Jahia to WP 2018-06-21,,,,,,,,,,,
https://prob.epfl.ch,Chaire de Probabilités,PROB,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,fr,PROB,10123,INC0235722,,,,,,,,,,,
https://datathink.epfl.ch,"Data Think! Materials, Methods Postures. 2018 International Phd block course ",DATATHINK,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,ALICE,11533,INC0235040,,,,,,,,,,,
https://gem.epfl.ch,Group of Energy Materials,GEM,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,MTEI-GE,11083,Migrated from Jahia to WP 2018-07-03,,,,,,,,,,,
https://iml.epfl.ch,International Institute for the management of Logistics & Supply Chain,EPFL,wordpress,subdomains,GeneralPublic,epfl-blank,sb,yes,yes,yes,en,IML,194,Migrated from Jahia to WP 2018-07-04,,,,,,,,,,,
https://vlsc.epfl.ch,Very Large Scale Computing Laboratory,VLSC,wordpress,subdomains,GeneralPublic,epfl-master,ic,yes,yes,yes,en,VLSC,12814,Migrated from Jahia to WP 2018-07-05,,,,,,,,,,,
https://iipp.epfl.ch,Chair of Innovation and IP Policy,IIPP,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,MTEI-GE,11083,Migrated from WPQA to WP 2018-07-10,,, , , , , , , , , 
https://gerg.epfl.ch,Chair for Green Economy and Resource Governance,GERG,wordpress,subdomains,GeneralPublic,epfl-master,cdm,yes,yes,yes,en,GERG,13131,Migrated from WPQA to WP 2018-07-13,,,,,,,,,,,
https://rao.epfl.ch,Risk Analytics and Optimization Chair,RAO,wordpress,subdomains,GeneralPublic,epfl-master,cdm,yes,yes,yes,en,RAO,12788,Migrated from WPQA to WP 2018-07-17,,,,,,,,,,,
https://tang-lab.epfl.ch,Laboratory of Biomaterials for Immunoengineering,LBI,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,lbi,13294,Migrated from Jahia to WP 2018-07-18,,,,,,,,,,,
https://ipese.epfl.ch,Industrial Process and Energy Systems Engineering,ipese,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,sci-sti-fm,12691,Migrated from Jahia to WP 2018-07-19,,,,,,,,,,,
https://piaget-award.epfl.ch,Piaget Scientific Award,-,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,imt-ge,10344,Migrated from Jahia to WP 2018-07-19,,,,,,,,,,,
https://celebration.epfl.ch,Célébration,EPFL,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"fr,en",MEV,13571,INC0239566,,,,,,,,,,,
https://qgis.epfl.ch,QGIS Geodata for Urbanism,QGIS,wordpress,subdomains,GeneralPublic,epfl-master,enac,yes,yes,yes,fr,ENAC-DO,10203,INC0239936,,,,,,,,,,,
https://leago.epfl.ch,Laboratory of electrophiles and genome operation,LEAGO,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,"en,fr",ISIC,10095,INC0239663,,,,,,,,,,,
https://latsis2019.epfl.ch,Symposium Latsis 2019 on Diamond Photonics,LATSIS2019,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,GR-QUA,13060,INC0239313,,,,,,,,,,,
https://sahr.epfl.ch,Skill Acquisition in Human and Robots,SAHR,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,"en,fr",LASA,10660,INC0239188,,,,,,,,,,,
