sciper;labAcronyme;siteUrl;doublon;clusters;idSite
159141;CTMC;https://www.epfl.ch/labs/ctmc;;Computational physics|Condensed matter theory|Magnetism|Statistical mechanics and quantum information|Strongly correlated electron systems|Surface physics and low-dimensional systems|Theoretical Physics;9JTkQ4c2egr2gCxNC
159253;LAB-U;https://www.epfl.ch/labs/lab-u;;Territory and society;LJdwgFzb384Bt95nD
160090;LGC;https://www.epfl.ch/labs/lgc;;Behavior and cognition|Neuroscience;EnSH8TQjdbMd5gknF
161312;CSFT;https://www.epfl.ch/labs/csft;;Mathematical analysis|Probability and stochastics|Statistical mechanics and quantum information|Surface physics and low-dimensional systems;b3ZeSL9wvNy5cEP4Y
161458;LBEN;https://www.epfl.ch/labs/lben;;Bio-inspired designs and systems|Imaging and vision|Optics and photonics|Personalized health|Quantum technology|Soft matter and flexible structures;jpuKLAyWmD9j6EZJu
161735;LIFMET;https://www.epfl.ch/labs/lifmet;;Chemical biology|Biophysics|Microscopy spectromicroscopy and imaging;g9fwpiWwLz9kewXwh
161849;C3MP;https://www.epfl.ch/labs/c3mp;;Computational chemistry|Computational physics|Condensed matter theory|Magnetism|Nanosciences|Strongly correlated electron systems|Surface physics and low-dimensional systems|Theoretical Physics;KTWqqHLcg8HGnmeqR
161950;TSAM;https://www.epfl.ch/labs/tsam;;Theory and history;Sz2yzkYXDnFDTPKc6
162367;TOM;https://www.epfl.ch/labs/tom;;Optimization|Entrepreneurial strategies|Operations & Supply chain management;FPWHT8tnBkSfkFqnQ
162370;CSI;https://www.epfl.ch/labs/csi;;Entrepreneurial strategies|Management of innovation|Technology commercialization|Innovation policy|Information society and digitalization policies and regulation|Technology and public policy;yzxiBkXKidsnABwpm
163670;LPPT;https://www.epfl.ch/labs/lppt;;Chemical biology|Organic chemistry;qRn9apFrZSptTqM7i
164385;LSPM;https://www.epfl.ch/labs/lspm;;Chemical engineering|Physical chemistry|Renewable energy;CymFXZ4ETatNYRyj9
165328;LASPE;https://www.epfl.ch/labs/laspe;;Nanosciences|Quantum photonics|Surface physics and low-dimensional systems|Ultrafast spectroscopy and optics;y28SXLZyptmeZkHzj
165806;LNCO;https://www.epfl.ch/labs/lnco;;Behavior and cognition|Humans|Neuroscience|Neurotechnology|Translational research;dJ5BvG3QgojZDGr5z
166196;LASTRO;https://www.epfl.ch/labs/lastro;;Astrophysics and gravitation;x4sZGtqwQSHTKFHAH
166540;LDM1;https://www.epfl.ch/labs/ldm;;Human-computer interaction (HCI);7A5Rz8x6Dy7XXcFqz
166542;LQG;https://www.epfl.ch/labs/lqg;;Atomic and molecular physics|Quantum photonics;JSaHAWh5mSSzAKMek
167337;LMNN;https://www.epfl.ch/labs/lashuel-lab;;Molecular and celluar biology|Neuroscience|Structural biology|Translational research;4YcvfjyLnov4Xq5nJ
167659;CRYOS;https://www.epfl.ch/labs/cryos;;Atmosphere and climate|Sustainable energy systems|Alpine and polar environment;XpXS9mbipvKfggKjm
167919;LVG;https://www.epfl.ch/labs/tronolab;;Computational biology|Genetics|Genomics|Molecular and celluar biology;8hkHxBfitKrdDG84A
168244;WIRE;https://www.epfl.ch/labs/wire;;Atmosphere and climate|Environmental modeling and monitoring|Sustainable energy systems;pxBkRyPy3vmy8gq2q
168579;UPCDA;https://www.epfl.ch/labs/constam-lab;;Cancer|Development|Molecular and celluar biology|Rodents;ntwYj7DYMRLy4xk2D
168670;UPLIN;https://www.epfl.ch/labs/lingner-lab;;Genomics|Molecular and celluar biology;EsbHSyFz3gsL4Crfo
168676;UPGON;https://gonczy-lab.epfl.ch;;Bioimaging|Biophysics|Development|Structural biology|Worms;N43tXQpQAnHe67hdn
169115;UPBRI;https://www.epfl.ch/labs/brisken-lab;;Cancer|Humans|Molecular and celluar biology|Rodents|Translational research;97vdeLQn6oesttuDY
169199;ESL;https://www.epfl.ch/labs/esl;;Future of computing|Internet of things|Personalized health|Sports technology;uFy6ZWAz6uhcC6bhP
169209;ECOL;https://www.epfl.ch/labs/ecol;;Atmosphere and climate|Ecology and biogeochemical cycles|Environmental modeling and monitoring|Water and waste engineering;tQFwDLhZesc6KtSuD
169253;LPMAT;https://lpmat.epfl.ch;;Optics and photonics;7jRiuWGXXG9ivyjue
169973;LSYM;https://www.epfl.ch/labs/lsym;;Bioimaging|Biophysics|Molecular and celluar biology|Neuroscience|Rodents;MxMyJcmrTWQbtTAuC
171548;LACAL;https://www.epfl.ch/labs/lacal;;Security, privacy & cryptography;rqBqNyX76D5J9qrbK
171549;VDG;https://www.epfl.ch/labs/vdg;;Biophysics|Humans|Molecular and celluar biology|Rodents|Structural biology;ZnMxYE43TDH8HPXLh
171550;EML;https://www.epfl.ch/labs/eml;;Atmosphere and climate|Ecology and biogeochemical cycles|Human-environment interactions|Water and waste engineering;nYtjpjz2GjMQhQrJM
171551;ENTC;https://www.epfl.ch/labs/entc;;Entrepreneurial strategies|Management of innovation|Technology commercialization;QWidGKGh7A9uDQBkK
171552;UPHUELSKEN;https://www.epfl.ch/labs/huelsken-lab;;Cancer|Immunity|Molecular and celluar biology|Rodents|Translational research;E9p9Lg3Frgpagefgh
